player_id,team,poss,passes,shots,goals,dribbles
893,A,49,0,0,0,34
884,A,60,0,0,0,30
939,B,1,0,0,0,0
958,B,1,0,0,0,0
940,B,11,0,0,0,0
963,A,8,0,0,0,0
970,B,2,0,0,0,0
971,B,1,0,0,0,0
942,A,10,0,0,0,0
979,B,6,0,0,0,0
981,A,44,0,0,0,26
1003,B,2,0,0,0,0
1004,B,17,0,0,0,2
1008,B,19,0,0,0,0
1016,B,4,0,0,0,0
1022,B,5,0,0,0,0
1025,B,64,0,0,2,34
1035,B,13,0,0,0,0
1046,B,30,0,0,30,15
1065,B,3,0,0,0,0
1059,A,5,0,0,0,0
1074,B,17,0,0,0,2
1084,B,3,0,0,0,0
1087,A,20,0,0,0,5
1105,A,6,0,0,0,0
1119,B,1,0,0,0,0
1117,B,5,0,0,0,0
1121,B,3,0,0,0,0
1123,B,22,0,0,0,0
1127,B,2,0,0,0,0
1120,B,20,0,0,0,3
1124,A,21,0,0,0,6
1136,B,7,0,0,0,0
1133,B,8,0,0,0,0
1139,B,28,0,0,0,13
1148,B,23,0,0,0,0
1153,B,2,0,0,0,0
1159,B,13,0,0,0,0
1163,B,4,0,0,0,0
1152,A,3,0,0,0,0
1165,B,16,0,0,0,0
1172,A,1,0,0,0,0
1174,B,9,0,0,0,0
1178,A,3,0,0,0,0
1188,B,9,0,0,0,0
1184,B,7,0,0,0,0
1200,B,3,0,0,0,0
1208,B,5,0,0,0,0
1211,B,21,0,0,0,3
1238,A,3,0,0,0,0
1242,A,1,0,0,0,0
1243,A,15,0,0,0,0
1249,A,1,0,0,0,0
1252,A,1,0,0,0,0
1269,B,1,0,0,0,0
1270,A,6,0,0,0,0
1277,B,50,0,0,41,29
1284,A,48,0,0,0,33
1292,A,17,0,0,0,0
1341,A,2,0,0,0,0
1343,A,3,0,0,0,0
1344,B,5,0,0,5,0
1350,A,1,0,0,0,0
1356,B,4,0,0,4,0
1357,A,21,0,0,9,0
1361,B,90,0,0,90,61
1358,A,6,0,0,0,0
1367,A,2,0,0,0,0
1351,A,1,0,0,0,0
1394,B,10,0,0,5,0
1395,B,7,0,0,7,0
1397,A,9,0,0,0,0
1405,B,14,0,0,0,0
1404,A,3,0,0,0,0
1411,B,17,0,0,0,1
1414,B,2,0,0,0,0
1417,B,2,0,0,0,0
1424,B,10,1,0,0,0
1428,B,4,0,0,0,0
1434,A,10,0,0,0,0
1435,A,1,0,0,0,0
1436,B,27,0,0,0,12
1444,B,6,0,0,0,0
1447,B,2,0,0,0,0
1454,A,7,0,0,0,0
1463,B,1,0,0,0,0
1458,B,35,0,0,14,6
1469,B,1,0,0,0,0
1471,A,77,0,0,0,47
1486,B,7,0,0,0,0
1531,B,41,0,0,24,12
1534,B,15,0,0,0,0
1538,B,19,0,0,0,3
1539,B,3,0,0,0,0
1543,B,11,0,0,0,0
1541,B,126,0,0,64,97
1545,B,4,0,0,0,0
1546,B,39,0,0,22,24
1553,A,14,0,0,7,0
1555,B,24,0,0,24,0
1561,A,7,0,0,0,0
1562,A,29,0,0,4,0
1568,B,15,0,0,15,0
1572,B,4,0,0,4,0
1575,A,12,0,0,0,0
1576,B,18,0,0,9,0
1578,A,3,0,0,0,0
1581,A,16,0,0,0,1
1584,A,16,0,0,3,0
1587,A,43,0,0,0,11
1590,A,17,0,0,0,0
1597,B,5,0,0,5,0
1598,B,11,0,0,7,0
1599,B,71,0,0,2,14
1603,B,5,0,0,0,0
1608,B,2,0,0,0,0
1601,A,45,0,0,0,8
